1,"15,596,039,580"
2,"15,637,652,960"
3,"1,038,581,890"
4,"459,751,300"
5,"848,818,120"
6,"1,896,378,660"
7,"1,070,193,480"
8,"18,882,307,830"
9,"1,011,856,500"
10,"391,532,710"
11,"2,805,768,340"
12,"9,849,589,690"
13,"876,587,790"
14,"26,758,240"
15,"671,756,000"
16,"62,640,220"
17,"5,796,580"
18,"27,137,980"
19,"3,513,660"
20,"2,397,200"
21,"526,500"
22,"484,984,070"
23,"336,892,890"
24,"567,625,170"
25,"2,301,458,730"
26,"1,303,857,620"
27,"1,151,359,150"
28,"1,242,526,980"
29,"2,933,361,930"
30,"4,558,572,640"
31,"1,781,701,030"
32,"1,714,407,370"
33,"325,832,490"
34,"516,703,490"
35,"632,976,400"
36,"464,811,620"
37,"1,283,887,450"
38,"114,785,470"
39,"308,308,850"
40,"325,375,970"
41,"162,551,480"
42,"69,756,030"
43,"16,087,480"
44,"413,182,980"
45,"190,152,260"
46,"47,841,900"
47,"18,748,940"
48,"147,129,740"
49,"52,928,090"
50,"119,267,520"
51,"42,146,400"
52,"80,146,150"
53,"233,262,720"
54,"36,864,390"
55,"8,772,240"
56,"1,124,224,190"
57,"1,549,262,300"
58,"597,486,611"
59,"431,617,192"
60,"51,589,378"
61,"840,219,836"
62,"617,122,120"
63,"1,853,460,650"
64,"1,642,172,134"
65,"823,987,913"
66,"1,081,907,695"
67,"3,349,579,123"
68,"2,754,671,174"
69,"2,830,334,247"
70,"432,266,624"
71,"2,384,054,621"
72,"1,603,676,707"
73,"476,588,754"
74,"1,093,368,293"
75,"144,408,703"
76,"955,022,122"
77,"847,363,809"
78,"1,295,945,372"
79,"571,580,462"
80,"1,428,662,448"
81,"357,217,462"
82,"264,940,579"
83,"634,721,585"
84,"863,906,921"
85,"646,498,046"
86,"374,816,243"
87,"253,959,400"
88,"1,347,650,315"
89,"282,360,241"
90,"1,290,358,173"
